verify_identity,verify_cache_filename,enroll_identity,enroll_cache_filenames,k_actual
able_wanamakok,able_wanamakok_0007.npy,mo'nique,mo'nique_0023.npy;mo'nique_0025.npy;mo'nique_0038.npy;mo'nique_0080.npy;mo'nique_0093.npy;mo'nique_0103.npy,6
able_wanamakok,able_wanamakok_0007.npy,shin_min_a,shin_min_a_0060.npy;shin_min_a_0052.npy;shin_min_a_0025.npy;shin_min_a_0032.npy;shin_min_a_0007.npy;shin_min_a_0008.npy;shin_min_a_0041.npy,7
able_wanamakok,able_wanamakok_0007.npy,john_carroll_lynch,john_carroll_lynch_0005.npy;john_carroll_lynch_0023.npy;john_carroll_lynch_0025.npy;john_carroll_lynch_0037.npy,4
able_wanamakok,able_wanamakok_0007.npy,elisa_donovan,elisa_donovan_0083.npy;elisa_donovan_0179.npy,2
able_wanamakok,able_wanamakok_0007.npy,jet_li,jet_li_0004.npy;jet_li_0056.npy;jet_li_0125.npy;jet_li_0127.npy,4
able_wanamakok,able_wanamakok_0007.npy,helena_christensen,helena_christensen_0018.npy;helena_christensen_0037.npy;helena_christensen_0038.npy;helena_christensen_0073.npy,4
able_wanamakok,able_wanamakok_0007.npy,tichina_arnold,tichina_arnold_0010.npy;tichina_arnold_0038.npy;tichina_arnold_0047.npy;tichina_arnold_0061.npy,4
able_wanamakok,able_wanamakok_0007.npy,eva_marcille,eva_marcille_0011.npy;eva_marcille_0014.npy;eva_marcille_0025.npy;eva_marcille_0029.npy;eva_marcille_0045.npy,5
able_wanamakok,able_wanamakok_0007.npy,selita_ebanks,selita_ebanks_0056.npy;selita_ebanks_0012.npy;selita_ebanks_0062.npy;selita_ebanks_0014.npy;selita_ebanks_0051.npy;selita_ebanks_0029.npy;selita_ebanks_0026.npy,7
able_wanamakok,able_wanamakok_0007.npy,david_alan_grier,david_alan_grier_0020.npy;david_alan_grier_0038.npy;david_alan_grier_0050.npy;david_alan_grier_0065.npy;david_alan_grier_0066.npy;david_alan_grier_0105.npy,6
able_wanamakok,able_wanamakok_0007.npy,peter_facinelli,peter_facinelli_0011.npy;peter_facinelli_0027.npy;peter_facinelli_0061.npy;peter_facinelli_0091.npy;peter_facinelli_0096.npy,5
able_wanamakok,able_wanamakok_0007.npy,ricky_gervais,ricky_gervais_0046.npy;ricky_gervais_0032.npy;ricky_gervais_0069.npy;ricky_gervais_0067.npy;ricky_gervais_0099.npy;ricky_gervais_0154.npy;ricky_gervais_0143.npy,7
able_wanamakok,able_wanamakok_0007.npy,brooke_elliott,brooke_elliott_0005.npy;brooke_elliott_0017.npy;brooke_elliott_0022.npy;brooke_elliott_0027.npy;brooke_elliott_0029.npy,5
able_wanamakok,able_wanamakok_0007.npy,robin_thicke,robin_thicke_0008.npy;robin_thicke_0017.npy;robin_thicke_0024.npy;robin_thicke_0028.npy;robin_thicke_0037.npy;robin_thicke_0049.npy;robin_thicke_0054.npy,7
able_wanamakok,able_wanamakok_0007.npy,jian,jian_0027.npy;jian_0047.npy;jian_0013.npy;jian_0037.npy;jian_0028.npy;jian_0053.npy;jian_0025.npy,7
able_wanamakok,able_wanamakok_0007.npy,50_cent,50_cent_0020.npy;50_cent_0025.npy;50_cent_0055.npy;50_cent_0067.npy;50_cent_0073.npy;50_cent_0104.npy,6
able_wanamakok,able_wanamakok_0007.npy,dean_cain,dean_cain_0076.npy;dean_cain_0007.npy;dean_cain_0043.npy;dean_cain_0032.npy;dean_cain_0025.npy;dean_cain_0048.npy;dean_cain_0046.npy,7
able_wanamakok,able_wanamakok_0007.npy,jet_li,jet_li_0004.npy;jet_li_0056.npy;jet_li_0125.npy;jet_li_0127.npy,4
able_wanamakok,able_wanamakok_0007.npy,minori_chihara,minori_chihara_0052.npy;minori_chihara_0044.npy;minori_chihara_0039.npy;minori_chihara_0049.npy;minori_chihara_0031.npy;minori_chihara_0043.npy;minori_chihara_0046.npy,7
able_wanamakok,able_wanamakok_0007.npy,antonio_sabato_jr,antonio_sabato_jr_0038.npy;antonio_sabato_jr_0066.npy;antonio_sabato_jr_0031.npy;antonio_sabato_jr_0008.npy;antonio_sabato_jr_0016.npy;antonio_sabato_jr_0029.npy;antonio_sabato_jr_0022.npy,7
able_wanamakok,able_wanamakok_0012.npy,godfrey_gao,godfrey_gao_0041.npy;godfrey_gao_0030.npy;godfrey_gao_0011.npy;godfrey_gao_0007.npy;godfrey_gao_0038.npy;godfrey_gao_0039.npy;godfrey_gao_0010.npy,7
able_wanamakok,able_wanamakok_0012.npy,amir_arison,amir_arison_0019.npy;amir_arison_0017.npy;amir_arison_0020.npy;amir_arison_0002.npy;amir_arison_0036.npy;amir_arison_0018.npy;amir_arison_0014.npy,7
able_wanamakok,able_wanamakok_0012.npy,terri_ivens,terri_ivens_0001.npy;terri_ivens_0011.npy;terri_ivens_0016.npy;terri_ivens_0028.npy;terri_ivens_0031.npy;terri_ivens_0039.npy;terri_ivens_0076.npy,7
able_wanamakok,able_wanamakok_0012.npy,kazuya_kamenashi,kazuya_kamenashi_0047.npy;kazuya_kamenashi_0031.npy;kazuya_kamenashi_0054.npy;kazuya_kamenashi_0006.npy;kazuya_kamenashi_0042.npy;kazuya_kamenashi_0015.npy;kazuya_kamenashi_0007.npy,7
able_wanamakok,able_wanamakok_0012.npy,tichina_arnold,tichina_arnold_0010.npy;tichina_arnold_0038.npy;tichina_arnold_0047.npy;tichina_arnold_0061.npy,4
able_wanamakok,able_wanamakok_0012.npy,howie_mandel,howie_mandel_0033.npy;howie_mandel_0074.npy;howie_mandel_0062.npy;howie_mandel_0018.npy;howie_mandel_0072.npy;howie_mandel_0057.npy;howie_mandel_0079.npy,7
able_wanamakok,able_wanamakok_0012.npy,eva_marcille,eva_marcille_0011.npy;eva_marcille_0014.npy;eva_marcille_0025.npy;eva_marcille_0029.npy;eva_marcille_0045.npy,5
able_wanamakok,able_wanamakok_0012.npy,gabourey_sidibe,gabourey_sidibe_0037.npy;gabourey_sidibe_0091.npy;gabourey_sidibe_0129.npy;gabourey_sidibe_0152.npy,4
