fold_1,fold_2,identity_1,cache_filename_1,identity_2,cache_filename_2
Asian_Females,Asian_Males,fumino_kimura,fumino_kimura_0062.npy,huang_xiaoming,huang_xiaoming_0011.npy
Asian_Females,Asian_Males,li_na_tennis,li_na_tennis_0009.npy,hua_chenyu,hua_chenyu_0026.npy
Asian_Females,Asian_Males,jinny_ng,jinny_ng_0024.npy,huang_xiaoming,huang_xiaoming_0011.npy
Asian_Females,Asian_Males,zhou_xun,zhou_xun_0001.npy,mark_dacascos,mark_dacascos_0909.npy
Asian_Females,Asian_Males,able_wanamakok,able_wanamakok_0041.npy,joo_jin_mo,joo_jin_mo_0038.npy
Asian_Females,Asian_Males,ming_xi,ming_xi_0067.npy,daniel_henney,daniel_henney_0007.npy
Asian_Females,Asian_Males,gong_seung_yeon,gong_seung_yeon_0054.npy,toma_ikuta,toma_ikuta_0007.npy
Asian_Females,Asian_Males,li_na_tennis,li_na_tennis_0012.npy,ron_yuan,ron_yuan_0062.npy
Asian_Females,Asian_Males,ming_xi,ming_xi_0062.npy,mark_dacascos,mark_dacascos_0909.npy
Asian_Females,Asian_Males,sumetal,sumetal_0054.npy,tony_jaa,tony_jaa_0024.npy
Asian_Females,Asian_Males,lucy_liu,lucy_liu_0008.npy,big_bang_g-dragon,big_bang_g-dragon_0013.npy
Asian_Females,Asian_Males,lee_young_ae,lee_young_ae_0027.npy,kris_wu,kris_wu_0056.npy
Asian_Females,Asian_Males,momoe_yamaguchi,momoe_yamaguchi_0032.npy,joo_jin_mo,joo_jin_mo_0020.npy
Asian_Females,Asian_Males,moametal,moametal_0049.npy,brandon_soo_hoo,brandon_soo_hoo_0023.npy
Asian_Females,Asian_Males,minori_chihara,minori_chihara_0019.npy,steven_yeun,steven_yeun_0269.npy
Asian_Females,Asian_Males,able_wanamakok,able_wanamakok_0056.npy,aaron_yoo,aaron_yoo_0371.npy
Asian_Females,Asian_Males,anna_maria_perez_de_tagle,anna_maria_perez_de_tagle_0093.npy,shun_oguri,shun_oguri_0041.npy
Asian_Females,Asian_Males,jun_hasegawa,jun_hasegawa_0034.npy,jet_li,jet_li_0125.npy
Asian_Females,Asian_Males,sumetal,sumetal_0056.npy,steven_yeun,steven_yeun_0261.npy
Asian_Females,Asian_Males,jinny_ng,jinny_ng_0049.npy,kanata_hongo,kanata_hongo_0043.npy
Asian_Females,Asian_Males,xu_jinglei,xu_jinglei_0034.npy,cha_seung_won,cha_seung_won_0052.npy
Asian_Females,Asian_Males,moametal,moametal_0043.npy,craig_fong,craig_fong_0060.npy
Asian_Females,Asian_Males,gong_hyo_jin,gong_hyo_jin_0037.npy,jang_keun_suk,jang_keun_suk_0006.npy
Asian_Females,Asian_Males,li_yuchun,li_yuchun_0006.npy,will_yun_lee,will_yun_lee_0079.npy
Asian_Females,Asian_Males,shin_min_a,shin_min_a_0052.npy,yannus_sufandi,yannus_sufandi_0007.npy
Asian_Females,Asian_Males,tina_q_nguyen,tina_q_nguyen_0056.npy,jang_keun_suk,jang_keun_suk_0013.npy
Asian_Females,Asian_Males,anna_tsuchiya,anna_tsuchiya_0015.npy,hua_chenyu,hua_chenyu_0009.npy
Asian_Females,Asian_Males,gong_seung_yeon,gong_seung_yeon_0063.npy,kris_wu,kris_wu_0022.npy
Asian_Females,Asian_Males,li_yuchun,li_yuchun_0018.npy,ron_yuan,ron_yuan_0058.npy
Asian_Females,Asian_Males,gong_seung_yeon,gong_seung_yeon_0019.npy,big_bang_g-dragon,big_bang_g-dragon_0028.npy
Asian_Females,Asian_Males,ming_xi,ming_xi_0024.npy,big_bang_g-dragon,big_bang_g-dragon_0017.npy
Asian_Females,Asian_Males,able_wanamakok,able_wanamakok_0025.npy,jack_ma,jack_ma_0223.npy
