image_path,reason
able_wanamakok/002.jpg,low_confidence
able_wanamakok/004.jpg,no_face
able_wanamakok/008.jpg,no_face
able_wanamakok/013.jpg,low_confidence
able_wanamakok/017.jpg,low_confidence
able_wanamakok/021.jpg,low_confidence
able_wanamakok/023.jpg,low_confidence
able_wanamakok/034.jpg,low_confidence
anna_maria_perez_de_tagle/019.jpg,low_confidence
anna_maria_perez_de_tagle/023.jpg,low_confidence
anna_maria_perez_de_tagle/033.jpg,no_face
anna_maria_perez_de_tagle/041.jpg,no_face
anna_maria_perez_de_tagle/049.jpg,low_confidence
anna_maria_perez_de_tagle/054.jpg,no_face
anna_maria_perez_de_tagle/064.jpg,low_confidence
anna_maria_perez_de_tagle/066.jpg,no_face
anna_maria_perez_de_tagle/072.jpg,low_confidence
anna_maria_perez_de_tagle/084.jpg,no_face
anna_maria_perez_de_tagle/094.jpg,no_face
anna_maria_perez_de_tagle/100.jpg,no_face
anna_maria_perez_de_tagle/101.jpg,low_confidence
anna_maria_perez_de_tagle/105.jpg,low_confidence
anna_maria_perez_de_tagle/108.jpg,low_confidence
anna_maria_perez_de_tagle/109.jpg,no_face
anna_tsuchiya/008.jpg,spoof_detected
anna_tsuchiya/014.jpg,low_confidence
anna_tsuchiya/016.jpg,low_confidence
anna_tsuchiya/020.jpg,spoof_detected
anna_tsuchiya/022.jpg,low_confidence
anna_tsuchiya/030.jpg,spoof_detected
anna_tsuchiya/057.jpg,spoof_detected
aubrey_anderson-emmons/010.jpg,low_confidence
aubrey_anderson-emmons/011.jpg,low_confidence
aubrey_anderson-emmons/020.jpg,low_confidence
aubrey_anderson-emmons/021.jpg,low_confidence
aubrey_anderson-emmons/030.jpg,low_confidence
aubrey_anderson-emmons/035.jpg,low_confidence
aubrey_anderson-emmons/038.jpg,low_confidence
aubrey_anderson-emmons/041.jpg,low_confidence
aubrey_anderson-emmons/045.jpg,low_confidence
aubrey_anderson-emmons/050.jpg,low_confidence
aubrey_anderson-emmons/052.jpg,low_confidence
aubrey_anderson-emmons/053.jpg,low_confidence
charlyne_yi/00000003.jpg,no_face
charlyne_yi/00000004.jpg,no_face
charlyne_yi/00000022.jpg,no_face
charlyne_yi/00000035.jpg,no_face
charlyne_yi/00000037.jpg,no_face
charlyne_yi/00000038.jpg,low_confidence
charlyne_yi/00000055.jpg,no_face
charlyne_yi/00000066.jpg,no_face
charlyne_yi/00000093.jpg,low_confidence
charlyne_yi/00000110.jpg,no_face
charlyne_yi/00000131.jpg,low_confidence
charlyne_yi/00000140.jpg,low_confidence
charlyne_yi/00000141.jpg,no_face
charlyne_yi/00000152.jpg,low_confidence
charlyne_yi/00000166.jpg,no_face
charlyne_yi/00000213.jpg,no_face
charlyne_yi/00000257.jpg,no_face
charlyne_yi/00000477.jpg,no_face
fala_chen/001.jpg,low_confidence
fala_chen/004.jpg,spoof_detected
fala_chen/010.jpg,low_confidence
fala_chen/012.jpg,no_face
fala_chen/014.jpg,low_confidence
fala_chen/018.jpg,no_face
fala_chen/020.jpg,low_confidence
fala_chen/022.jpg,low_confidence
fala_chen/047.jpg,low_confidence
fala_chen/054.jpg,low_confidence
fala_chen/056.jpg,low_confidence
fala_chen/058.jpg,no_face
fala_chen/070.jpg,low_confidence
fala_chen/074.jpg,low_confidence
fumino_kimura/000.jpg,no_face
fumino_kimura/004.jpg,no_face
fumino_kimura/006.jpg,no_face
fumino_kimura/023.jpg,no_face
fumino_kimura/042.jpg,no_face
fumino_kimura/064.jpg,low_confidence
gong_hyo_jin/001.jpg,spoof_detected
gong_seung_yeon/010.jpg,spoof_detected
gong_seung_yeon/017.jpg,spoof_detected
jinny_ng/000.jpg,spoof_detected
jinny_ng/005.jpg,spoof_detected
jinny_ng/006.jpg,spoof_detected
jinny_ng/015.jpg,spoof_detected
jinny_ng/031.jpg,low_confidence
jinny_ng/039.jpg,spoof_detected
jinny_ng/041.jpg,no_face
jinny_ng/044.jpg,spoof_detected
jinny_ng/057.jpg,spoof_detected
jinny_ng/060.jpg,no_face
jinny_ng/065.jpg,spoof_detected
jun_hasegawa/002.jpg,no_face
jun_hasegawa/009.jpg,spoof_detected
jun_hasegawa/017.jpg,spoof_detected
jun_hasegawa/029.jpg,low_confidence
jun_hasegawa/032.jpg,low_confidence
jun_hasegawa/042.jpg,low_confidence
jun_hasegawa/043.jpg,spoof_detected
jun_hasegawa/066.jpg,no_face
lee_jung_hyun/003.jpg,spoof_detected
lee_jung_hyun/015.jpg,spoof_detected
lee_jung_hyun/019.jpg,spoof_detected
lee_jung_hyun/026.jpg,spoof_detected
lee_jung_hyun/053.jpg,no_face
lee_jung_hyun/061.jpg,spoof_detected
lee_jung_hyun/067.jpg,spoof_detected
lee_young_ae/032.jpg,spoof_detected
lee_young_ae/064.jpg,spoof_detected
li_na_tennis/000.jpg,low_confidence
li_na_tennis/039.jpg,spoof_detected
