identity,imagenum,fold,db_code,image_path,cache_filename,status
able_wanamakok,2,Asian_Females,CWF,able_wanamakok/002.jpg,,low_confidence
able_wanamakok,4,Asian_Females,CWF,able_wanamakok/004.jpg,,no_face
able_wanamakok,7,Asian_Females,CWF,able_wanamakok/007.jpg,able_wanamakok_0007.npy,ok
able_wanamakok,8,Asian_Females,CWF,able_wanamakok/008.jpg,,no_face
able_wanamakok,12,Asian_Females,CWF,able_wanamakok/012.jpg,able_wanamakok_0012.npy,ok
able_wanamakok,13,Asian_Females,CWF,able_wanamakok/013.jpg,,low_confidence
able_wanamakok,15,Asian_Females,CWF,able_wanamakok/015.jpg,able_wanamakok_0015.npy,ok
able_wanamakok,17,Asian_Females,CWF,able_wanamakok/017.jpg,,low_confidence
able_wanamakok,21,Asian_Females,CWF,able_wanamakok/021.jpg,,low_confidence
able_wanamakok,23,Asian_Females,CWF,able_wanamakok/023.jpg,,low_confidence
able_wanamakok,24,Asian_Females,CWF,able_wanamakok/024.jpg,able_wanamakok_0024.npy,ok
able_wanamakok,25,Asian_Females,CWF,able_wanamakok/025.jpg,able_wanamakok_0025.npy,ok
able_wanamakok,27,Asian_Females,CWF,able_wanamakok/027.jpg,able_wanamakok_0027.npy,ok
able_wanamakok,29,Asian_Females,CWF,able_wanamakok/029.jpg,able_wanamakok_0029.npy,ok
able_wanamakok,34,Asian_Females,CWF,able_wanamakok/034.jpg,,low_confidence
able_wanamakok,41,Asian_Females,CWF,able_wanamakok/041.jpg,able_wanamakok_0041.npy,ok
able_wanamakok,42,Asian_Females,CWF,able_wanamakok/042.jpg,able_wanamakok_0042.npy,ok
able_wanamakok,56,Asian_Females,CWF,able_wanamakok/056.jpg,able_wanamakok_0056.npy,ok
anna_maria_perez_de_tagle,19,Asian_Females,CWF,anna_maria_perez_de_tagle/019.jpg,,low_confidence
anna_maria_perez_de_tagle,23,Asian_Females,CWF,anna_maria_perez_de_tagle/023.jpg,,low_confidence
anna_maria_perez_de_tagle,33,Asian_Females,CWF,anna_maria_perez_de_tagle/033.jpg,,no_face
anna_maria_perez_de_tagle,41,Asian_Females,CWF,anna_maria_perez_de_tagle/041.jpg,,no_face
anna_maria_perez_de_tagle,49,Asian_Females,CWF,anna_maria_perez_de_tagle/049.jpg,,low_confidence
anna_maria_perez_de_tagle,54,Asian_Females,CWF,anna_maria_perez_de_tagle/054.jpg,,no_face
anna_maria_perez_de_tagle,64,Asian_Females,CWF,anna_maria_perez_de_tagle/064.jpg,,low_confidence
anna_maria_perez_de_tagle,66,Asian_Females,CWF,anna_maria_perez_de_tagle/066.jpg,,no_face
anna_maria_perez_de_tagle,72,Asian_Females,CWF,anna_maria_perez_de_tagle/072.jpg,,low_confidence
anna_maria_perez_de_tagle,82,Asian_Females,CWF,anna_maria_perez_de_tagle/082.jpg,anna_maria_perez_de_tagle_0082.npy,ok
anna_maria_perez_de_tagle,84,Asian_Females,CWF,anna_maria_perez_de_tagle/084.jpg,,no_face
anna_maria_perez_de_tagle,93,Asian_Females,CWF,anna_maria_perez_de_tagle/093.jpg,anna_maria_perez_de_tagle_0093.npy,ok
anna_maria_perez_de_tagle,94,Asian_Females,CWF,anna_maria_perez_de_tagle/094.jpg,,no_face
anna_maria_perez_de_tagle,100,Asian_Females,CWF,anna_maria_perez_de_tagle/100.jpg,,no_face
anna_maria_perez_de_tagle,101,Asian_Females,CWF,anna_maria_perez_de_tagle/101.jpg,,low_confidence
anna_maria_perez_de_tagle,105,Asian_Females,CWF,anna_maria_perez_de_tagle/105.jpg,,low_confidence
anna_maria_perez_de_tagle,108,Asian_Females,CWF,anna_maria_perez_de_tagle/108.jpg,,low_confidence
anna_maria_perez_de_tagle,109,Asian_Females,CWF,anna_maria_perez_de_tagle/109.jpg,,no_face
anna_tsuchiya,1,Asian_Females,CWF,anna_tsuchiya/001.jpg,anna_tsuchiya_0001.npy,ok
anna_tsuchiya,3,Asian_Females,CWF,anna_tsuchiya/003.jpg,anna_tsuchiya_0003.npy,ok
anna_tsuchiya,5,Asian_Females,CWF,anna_tsuchiya/005.jpg,anna_tsuchiya_0005.npy,ok
anna_tsuchiya,8,Asian_Females,CWF,anna_tsuchiya/008.jpg,,spoof_detected
anna_tsuchiya,14,Asian_Females,CWF,anna_tsuchiya/014.jpg,,low_confidence
anna_tsuchiya,15,Asian_Females,CWF,anna_tsuchiya/015.jpg,anna_tsuchiya_0015.npy,ok
anna_tsuchiya,16,Asian_Females,CWF,anna_tsuchiya/016.jpg,,low_confidence
anna_tsuchiya,18,Asian_Females,CWF,anna_tsuchiya/018.jpg,anna_tsuchiya_0018.npy,ok
anna_tsuchiya,19,Asian_Females,CWF,anna_tsuchiya/019.jpg,anna_tsuchiya_0019.npy,ok
anna_tsuchiya,20,Asian_Females,CWF,anna_tsuchiya/020.jpg,,spoof_detected
anna_tsuchiya,22,Asian_Females,CWF,anna_tsuchiya/022.jpg,,low_confidence
anna_tsuchiya,30,Asian_Females,CWF,anna_tsuchiya/030.jpg,,spoof_detected
anna_tsuchiya,31,Asian_Females,CWF,anna_tsuchiya/031.jpg,anna_tsuchiya_0031.npy,ok
anna_tsuchiya,42,Asian_Females,CWF,anna_tsuchiya/042.jpg,anna_tsuchiya_0042.npy,ok
anna_tsuchiya,43,Asian_Females,CWF,anna_tsuchiya/043.jpg,anna_tsuchiya_0043.npy,ok
anna_tsuchiya,44,Asian_Females,CWF,anna_tsuchiya/044.jpg,anna_tsuchiya_0044.npy,ok
anna_tsuchiya,50,Asian_Females,CWF,anna_tsuchiya/050.jpg,anna_tsuchiya_0050.npy,ok
anna_tsuchiya,57,Asian_Females,CWF,anna_tsuchiya/057.jpg,,spoof_detected
aubrey_anderson-emmons,1,Asian_Females,CWF,aubrey_anderson-emmons/001.jpg,aubrey_anderson-emmons_0001.npy,ok
aubrey_anderson-emmons,2,Asian_Females,CWF,aubrey_anderson-emmons/002.jpg,aubrey_anderson-emmons_0002.npy,ok
aubrey_anderson-emmons,10,Asian_Females,CWF,aubrey_anderson-emmons/010.jpg,,low_confidence
aubrey_anderson-emmons,11,Asian_Females,CWF,aubrey_anderson-emmons/011.jpg,,low_confidence
aubrey_anderson-emmons,14,Asian_Females,CWF,aubrey_anderson-emmons/014.jpg,aubrey_anderson-emmons_0014.npy,ok
aubrey_anderson-emmons,15,Asian_Females,CWF,aubrey_anderson-emmons/015.jpg,aubrey_anderson-emmons_0015.npy,ok
aubrey_anderson-emmons,20,Asian_Females,CWF,aubrey_anderson-emmons/020.jpg,,low_confidence
aubrey_anderson-emmons,21,Asian_Females,CWF,aubrey_anderson-emmons/021.jpg,,low_confidence
aubrey_anderson-emmons,29,Asian_Females,CWF,aubrey_anderson-emmons/029.jpg,aubrey_anderson-emmons_0029.npy,ok
aubrey_anderson-emmons,30,Asian_Females,CWF,aubrey_anderson-emmons/030.jpg,,low_confidence
aubrey_anderson-emmons,33,Asian_Females,CWF,aubrey_anderson-emmons/033.jpg,aubrey_anderson-emmons_0033.npy,ok
